# RNA Virus Assignment Data 2023
sOTU	n_runs	n_bioprojects	max_contig_coverage	genbank_aa%	genbank_target_species	genbank_target_family	example_run_label	Index_run	assembly_link
u130682	28	8	244	68	Narnaviridae sp.	Narnaviridae	Rattus norvegicus	SRR9331386	https://mgy441.s3.amazonaws.com/assembly/SRR9331386_output/transcripts.fasta
u507489	NA	NA	NA	NA	NA	NA	NA	#N/A	#N/A
u123129	8	5	473	62	Bofa virus	NA	Latrodectus hesperus	SRR17250291	https://mgy441.s3.amazonaws.com/assembly/SRR17250291_output/transcripts.fasta
u212335	8	8	182	57	Mitovirus sp.	Mitoviridae	Xenopus laevis	SRR15030738	https://mgy441.s3.amazonaws.com/assembly/SRR15030738_output/transcripts.fasta
u150420	10	5	436	53	Riboviria sp.	NA	Gallus gallus	SRR14557243	https://mgy441.s3.amazonaws.com/assembly/SRR14557243_output/transcripts.fasta
u911856	87	13	789	63	Comovirinae sp.	Secoviridae	Rattus norvegicus	SRR14877800	https://mgy441.s3.amazonaws.com/assembly/SRR14877800_output/transcripts.fasta
u812429	NA	NA	NA	NA	NA	NA	NA	#N/A	#N/A
u125491	8	5	4637	55	Rasavirus sp.	NA	Ovis aries	ERR3143221	https://mgy441.s3.amazonaws.com/assembly/ERR3143221_output/transcripts.fasta
u85215	12	7	238	69	Betachrysovirus aspergilli	Chrysoviridae	Vitis vinifera	SRR15319223	https://mgy441.s3.amazonaws.com/assembly/SRR15319223_output/transcripts.fasta
u98198	31	5	102	50	Hubei virga-like virus 10	NA	Plutella xylostella	SRR3948414	https://mgy441.s3.amazonaws.com/assembly/SRR3948414_output/transcripts.fasta
u113868	13	5	427	48	Mitoviridae sp.	Mitoviridae	Hemileia vastatrix HvCat	SRR17583173	https://mgy441.s3.amazonaws.com/assembly/SRR17583173_output/transcripts.fasta
u689868	66	39	1760	70	Kummerowia striata picorna-like virus	NA	Xiphophorus maculatus	SRR5466727	https://mgy441.s3.amazonaws.com/assembly/SRR5466727_output/transcripts.fasta
